"rank_mu","rank_nu","mu_mean","nu_mean","mu_sim","nu_sim","ess_mean","rhat_max","time_sec","ess_per_sec"
0,0,3.7928712,0.000252881375,0.108351919094008,4.98358149516736e-05,1.41532401141144,2.02673344792789,5098.03975963593,0.000277621218770666
0,0,4.01956808768727,0.00151131481,4.6365081318454e-26,0.000127561173636647,17.196041798556,1.00316771920167,1130.10052371025,0.0152163824702066
68,74,6.51454572522028,0.000372789505,0.0901984080854227,0.000265141339181559,4.19630223143781,1.25692478584842,3716.13444042206,0.0011292116307184
99,110,2.85933638204655,0.000345230497,0.0729535060487745,0.000331969388899119,25.4066875317587,1.0013315110844,3488.26201820374,0.0072834802543995
181,196,4.03484718507125,0.000914961305,11.5917407967076,0.00153891220701461,23.6781285009506,1.08949208469869,1731.36451387405,0.013675992727822
0,0,0.284362999485373,0.0102381416,2.15841993888108e-12,0.00185660755180735,18.0945990333682,1.00548302616782,144.7621986866,0.124995331637245
87,77,25.804057972,0.003252394545,16.2524838346078,0.00247524603935623,24.717452464017,1.00978108064117,954.132556676865,0.0259056797622597
0,2,4.538671905,0.0128144871,0.00511690607402401,0.00367188849778426,34.189086397106,1.14281399161496,222.525468826294,0.153641228473467
90,105,7.91414459273824,0.004688861625,3.29438998383831,0.00437678673722639,3.85139028643424,1.21893903111486,507.05888915062,0.0075955483058107
36,22,0.0970878405792553,0.0107531069,2.28324135149834e-07,0.00449835271985968,14.9077563153357,1.07196536288093,101.930554628372,0.146254048844213
84,98,1.82568398460129,0.005432163535,0.360397045960029,0.00530064306899288,12.1582788909865,1.10824657081042,338.567451953888,0.0359109501543061
59,48,0.338468599590411,0.00915705405,0.0147373773929231,0.00575032076267225,10.8351696637971,1.11154455720809,177.601167440414,0.0610084371626234
59,72,0.99869036556919,0.00925658565,0.0232338271321458,0.00600435486130754,31.969876054609,1.10066406174386,202.931692123413,0.15754008513942
81,85,2.3786606565575,0.00808466235,0.768295157709696,0.00664860607460042,49.3921456767672,1.00883119992497,278.843895435333,0.177131888075426
0,0,2.80912592545,0.0494862585,9.16229587551902e-05,0.00666535615319052,50.4144565263871,1.01460985405217,63.9169106483459,0.788749894433324
42,42,1.12764574246691,0.01372959225,0.0191364353369082,0.00687578094066613,15.3575490103372,1.19766086510936,162.732381105423,0.094373036921202
